country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
United Arab Emirates,112000,107000,104000,99800,101000,102000,103000,106000,101000,98500,103000,99400,96700,98600,98500,91600,87100,77200,69400,58800,55400
United Kingdom,26700,26300,26300,26900,27900,28500,29200,30300,31300,32200,33200,34000,34700,35700,36300,37200,37800,38500,38100,36200,36500
United States,36800,36300,37000,37600,38600,39200,40200,41500,42800,44300,45700,45700,46000,46900,48300,49500,50400,50900,50400,48600,49500
Uruguay,9840,10100,10800,11000,11800,11500,12100,13000,13500,13200,12900,12400,11400,11500,12100,13000,13500,14400,15400,16000,17200
Uzbekistan,3090,3010,2610,2490,2320,2260,2250,2320,2380,2460,2520,2590,2660,2740,2910,3080,3270,3530,3790,4020,4240
Vanuatu,2550,2560,2550,2500,2650,2610,2620,2690,2760,2720,2820,2670,2470,2510,2540,2610,2760,2840,2950,2980,2950
Venezuela,14600,15700,16200,15900,15200,15500,15200,15800,15500,14300,14600,14800,13300,12000,14000,15100,16400,17600,18200,17400,16900
Vietnam,1460,1510,1610,1710,1820,1960,2110,2250,2350,2440,2570,2710,2850,3020,3210,3430,3630,3850,4030,4210,4430
Yemen,3430,3470,3560,3520,3580,3630,3660,3730,3840,3870,4000,4030,4070,4100,4150,4250,4270,4290,4320,4360,4570
Zambia,2340,2280,2190,2280,2030,2040,2110,2130,2060,2100,2130,2180,2220,2320,2420,2520,2650,2800,2930,3120,3340
Zimbabwe,2820,2910,2590,2570,2770,2740,2990,3040,3100,3050,2950,2980,2710,2240,2100,1980,1890,1810,1480,1630,1930
